keyword,language,country,timeRange,trend,interestScore,relatedQueries,source,lastChecked,sourceUrl,trendType,change,sourceFile,topicCluster,isRelevant
font generator,en,US,2026-05-08..2026-06-08,rising,28,,google_trends_manual,2026-06-08,,rising,4%,searched_with_rising-searches_US_20260508-2027_20260608-2027(2).csv,other,False
font generator,en,US,2026-05-08..2026-06-08,rising,28,,google_trends_manual,2026-06-08,,top,4%,searched_with_top-searches_US_20260508-2027_20260608-2027.csv,other,False
free ai image generator,en,US,2026-05-08..2026-06-08,falling,6,,google_trends_manual,2026-06-08,,rising,-70%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
free ai image generator,en,US,2026-05-08..2026-06-08,falling,6,,google_trends_manual,2026-06-08,,top,-70%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
free ai instagram post generator,en,US,2026-05-08..2026-06-08,falling,5,,google_trends_manual,2026-06-08,,rising,-80%,searched_with_rising-searches_US_20260508-2027_20260608-2027(2).csv,instagram_carousel,True
free ai instagram post generator,en,US,2026-05-08..2026-06-08,falling,5,,google_trends_manual,2026-06-08,,top,-80%,searched_with_top-searches_US_20260508-2027_20260608-2027.csv,instagram_carousel,True
free ai social media post generator,en,US,2026-05-08..2026-06-08,rising,16,,google_trends_manual,2026-06-08,,rising,170%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,social_content,True
free ai social media post generator,en,US,2026-05-08..2026-06-08,rising,16,,google_trends_manual,2026-06-08,,top,170%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,social_content,True
free ai video generator,en,US,2026-05-08..2026-06-08,rising,23,,google_trends_manual,2026-06-08,,rising,30%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
free ai video generator,en,US,2026-05-08..2026-06-08,rising,23,,google_trends_manual,2026-06-08,,top,30%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
gemini,en,US,2026-05-08..2026-06-08,rising,21,,google_trends_manual,2026-06-08,,rising,20%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,other,False
gemini,en,US,2026-05-08..2026-06-08,rising,21,,google_trends_manual,2026-06-08,,top,20%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,other,False
gemini ai,en,US,2026-05-08..2026-06-08,breakout,44,,google_trends_manual,2026-06-08,,rising,Breakout,searched_with_rising-searches_US_20260508-2021_20260608-2021(1).csv,ai_content,False
gemini ai,en,US,2026-05-08..2026-06-08,rising,21,,google_trends_manual,2026-06-08,,top,20%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,False
